batter,impact
RJW Topley,-0.30147549679089714
T Henderson,-0.3095712923417681
DP Nannes,-0.32107799765990414
GD McGrath,-0.32124296794678175
LE Plunkett,-0.3262610673865524
Rasikh Salam,-0.3271528835075433
AG Paunikar,-0.3320672528547336
Umran Malik,-0.36282898511850026
FA Allen,-0.3705890044500126
S Badree,-0.37452442795925145
SS Shaikh,-0.3747923640172245
M Tiwari,-0.3750611118239636
SB Bangar,-0.38520466192392366
Sumit Kumar,-0.41271651863953535
Azmatullah Omarzai,-0.4147530047184721
Ramandeep Singh,-0.43271091223225777
Ravi Bishnoi,-0.433407675761411
JR Philippe,-0.43842357317464153
T Kohler-Cadmore,-0.44701826273288714
T Kohli,-0.4502977089829773
F Behardien,-0.4594679111891131
Noor Ahmad,-0.4702911588610174
A Tomar,-0.48359027604624444
D Kalyankrishna,-0.483833732764807
Shivam Singh,-0.48604693331919535
Virat Singh,-0.49239766366336113
LA Carseldine,-0.49414331715913595
MD Shanaka,-0.5035352840085436
H Das,-0.5046012719415821
Mukesh Kumar,-0.5094221318284436
Suryansh Shedge,-0.5106203582957706
TM Srivastava,-0.5228437503734784
M Kaif,-0.5410751683737252
Sohail Tanvir,-0.5470495662712481
KK Ahmed,-0.55812410986287
FY Fazal,-0.5643153744037162
R Minz,-0.5643730515442238
RR Rossouw,-0.5742499087558
JPR Scantlebury-Searles,-0.5824435709730009
A Dananjaya,-0.5849284834768715
K Kartikeya,-0.5856485413939556
UA Birla,-0.5859030850687554
C Nanda,-0.5863336738382579
D du Preez,-0.5919181773138689
JE Root,-0.5926975977208712
JL Pattinson,-0.5962533143308296
B Stanlake,-0.6008377431798613
MM Patel,-0.610370107493574
NJ Rimmington,-0.6119080434787102
Yash Dayal,-0.6171172974411445
MK Pandey,-0.6221506612305935
Shoaib Ahmed,-0.6304661900514392
P Parameswaran,-0.6309272006294138
HF Gurney,-0.6447819140480465
RS Gavaskar,-0.660412063587118
VRV Singh,-0.6826846775277806
PVSN Raju,-0.6892220194121019
PVD Chameera,-0.6934063972653196
Imran Tahir,-0.6953403586779613
S Narwal,-0.7033495955712024
JR Hopes,-0.7058444788456861
YA Abdulla,-0.710195399666674
SD Chitnis,-0.7105592721482841
TM Dilshan,-0.7122450274330823
MG Bracewell,-0.715378361093447
T Taibu,-0.7156817811514073
Tanush Kotian,-0.737014490713745
A Chandila,-0.7649139145352161
SW Tait,-0.7774602314354113
T Banton,-0.8054709450987416
Naveen-ul-Haq,-0.8057675750963538
SD Lad,-0.8118971309587995
Ankit Sharma,-0.8157107545000997
DJ Willey,-0.8171319998885123
AJ Tye,-0.8536643374394232
A Mithun,-0.8605313423041189
TD Paine,-0.8620248252632585
AJ Hosein,-0.8637623482235784
RJ Gleeson,-0.8948460614513328
DG Nalkande,-0.909092074548186
R Rampaul,-0.9550058765148252
RA Bawa,-0.9744119631362632
Sikandar Raza,-0.9779427920898981
GHS Garton,-1.0068946363941422
A Zampa,-1.0132530638925439
IR Jaggi,-1.0174672763785462
RR Bhatkal,-1.0177494979969914
T Thushara,-1.0298066627136762
Shahid Afridi,-1.0304431094654802
AT Rayudu,-1.030568702706827
RG More,-1.0332631241774108
D Pretorius,-1.0423168681520034
P Dogra,-1.0628393996640144
M Ntini,-1.0647495499600759
A Uniyal,-1.0737294885128612
BAW Mendis,-1.0995814276699334
GD Phillips,-1.1050057728836853
CM Gautam,-1.1277926790902635
Aman Hakim Khan,-1.1350189219655906
Joginder Sharma,-1.1380313596491143
KAJ Roach,-1.142988159135812
AB Barath,-1.1522894667730696
Umar Gul,-1.1562625587302338
RR Sarwan,-1.16139728083076
M Prasidh Krishna,-1.1681967024923876
J Theron,-1.170830457175444
JR Hazlewood,-1.1709101811256915
AD Nath,-1.1777437230479504
TS Mills,-1.2093150060541833
BMAJ Mendis,-1.2108562037820343
PD Collingwood,-1.215400154156759
T Natarajan,-1.2225205476537564
RK Bhui,-1.238559179205639
S Randiv,-1.2505468383293943
Yudhvir Singh,-1.2534743201697827
KMA Paul,-1.2535960738085432
Shivam Sharma,-1.259854745798462
CK Kapugedera,-1.2635082119604666
SP Goswami,-1.268873251578556
Ankit Soni,-1.2721944887520835
BA Bhatt,-1.2869279294584341
AS Joseph,-1.2884863277325453
SM Harwood,-1.2938672708405625
Mashrafe Mortaza,-1.3261603210873236
KW Richardson,-1.3273375287502913
VR Aaron,-1.33651098982724
DL Vettori,-1.3393275940597515
M Theekshana,-1.3860188175096217
BB Sran,-1.4025025981613406
A Kamboj,-1.439237493022588
Sachin Baby,-1.4478852400447066
R Sanjay Yadav,-1.4484007716890281
KA Jamieson,-1.4536627210948745
Harmeet Singh,-1.4869863950262925
HC Brook,-1.5085061955989192
A Flintoff,-1.5478745298989378
DA Miller,-1.5559324216726664
I Malhotra,-1.5573063550605974
AA Chavan,-1.5665578063682084
JDS Neesham,-1.5944999273043043
Akash Deep,-1.5963305956218001
NK Patel,-1.6236403301182165
CJ Ferguson,-1.632560451845738
S Aravind,-1.663339651999196
AS Rajpoot,-1.711515638691653
A Singh,-1.7393846602639638
GC Viljoen,-1.7505086483224157
FH Edwards,-1.7702889703450841
N Jagadeesan,-1.7734028139014695
AP Majumdar,-1.798461728003518
TU Deshpande,-1.814174322450906
M Rawat,-1.8307299266095851
Kartik Tyagi,-1.8528082339907732
Aniket Verma,-1.89342886115132
BE Hendricks,-1.8985622265571642
YS Chahal,-1.9132308798536473
NS Naik,-1.9151785395738514
AB McDonald,-1.9199312701263476
R Shepherd,-1.9269197273151308
SP Jackson,-1.9406424548901262
AR Bawne,-1.9606651949304774
AF Milne,-1.9637948223373538
Anureet Singh,-1.9733797009539735
PR Shah,-1.9883115369711002
MV Boucher,-2.0044922824396796
R Shukla,-2.03629372921791
AP Tare,-2.0392868551189776
Arshad Khan (2),-2.0464793168884063
K Goel,-2.046764195072023
Akash Madhwal,-2.05246490956312
JM Sharma,-2.057127644118335
I Udana,-2.0732431005397407
DR Sams,-2.0845162220663993
Navdeep Saini,-2.163704426086211
SMSM Senanayake,-2.192050575982865
CR Woakes,-2.2158044529189405
B Sumanth,-2.2212591907711277
MM Sharma,-2.2454709766260788
N Saini,-2.2668714759492086
C Sakariya,-2.2824109383797233
KL Nagarkoti,-2.291158604975984
Swapnil Singh,-2.30486297484633
Jaskaran Singh,-2.3082315709031693
AD Mascarenhas,-2.3261837915008585
SW Billings,-2.341376828080386
DJ Hussey,-2.344860740195345
AB Dinda,-2.382244711701511
Misbah-ul-Haq,-2.3945743418436023
KJ Abbott,-2.4190040794248167
SJ Srivastava,-2.4360358778328086
SL Malinga,-2.4512303439458663
KB Arun Karthik,-2.462028603218176
LPC Silva,-2.4648747454439963
WA Mota,-2.465306400513882
RV Patel,-2.4734720745605703
Sanvir Singh,-2.4765179380192746
KK Cooper,-2.477468404712869
P Awana,-2.4847850246961167
Arshad Khan,-2.4903575514561274
PV Tambe,-2.5053702325935037
Mohsin Khan,-2.5406211455328807
KC Cariappa,-2.566084893188833
VG Arora,-2.574962990069103
Simarjeet Singh,-2.581477595299923
P Dubey,-2.621631272720657
DL Chahar,-2.6233336933169635
B Laughlin,-2.624349770313577
D Wiese,-2.646217757653471
S Kaul,-2.7169620437935773
D Salunkhe,-2.7315000696475464
CV Varun,-2.746580398423724
BB Samantray,-2.776540088514988
NL McCullum,-2.8001852867181665
A Choudhary,-2.8050538864810237
MN van Wyk,-2.806653204279398
G Coetzee,-2.863969690125055
YV Takawale,-2.9042595506149045
S Dube,-2.916365576244689
A Nehra,-2.948443484020756
C Bosch,-2.9944047920007177
MA Khote,-3.0471403399918815
JEC Franklin,-3.0625674522941306
Dhruv Jurel,-3.13144406454141
A Nortje,-3.1637008958006536
P Sahu,-3.165449806020451
LJ Wright,-3.1825304827447884
AT Carey,-3.2183731659036248
Harshit Rana,-3.25193477934904
J Yadav,-3.2821751045961527
SB Styris,-3.3047391903441383
TK Curran,-3.337883013292221
AS Roy,-3.3806657121652735
LH Ferguson,-3.381262683891178
SM Pollock,-3.430701994704878
Shivam Mavi,-3.4451787498765847
AUK Pathan,-3.445205504933394
SM Curran,-3.493774584925972
A Kumble,-3.513176230044569
Harpreet Singh,-3.518312990653406
Basil Thampi,-3.530519487640394
A Manohar,-3.532624765506486
B Akhil,-3.5385743558253004
BJ Rohrer,-3.547811515839572
MJ Santner,-3.5684487705865955
SK Trivedi,-3.706895370548783
Avesh Khan,-3.8183510648340064
A Symonds,-3.822616757002751
AS Yadav,-3.8355530401507894
MM Ali,-3.8476052492738533
R Sathish,-3.944571377217955
Mustafizur Rahman,-3.9836073452164094
HE van der Dussen,-4.024328340785104
DE Bollinger,-4.032882449027838
M Muralitharan,-4.082952826272485
Mohammed Siraj,-4.159892291713382
HR Shokeen,-4.160061146279055
R Sharma,-4.196707343318607
J Suchith,-4.231201541826449
S Nadeem,-4.255038267074546
RS Bopara,-4.389113541875244
AA Jhunjhunwala,-4.451066163163858
NM Coulter-Nile,-4.501177401473617
DJG Sammy,-4.570647151906949
M Kartik,-4.704620029796478
JDP Oram,-4.710448590238466
PWH de Silva,-4.752172468681896
MA Starc,-4.767372765493958
S Anirudha,-4.874819898838588
LA Pomersbach,-4.883016560806152
MS Gony,-4.888947229502834
Iqbal Abdulla,-4.988725594493045
S Gopal,-5.0612451516268075
C de Grandhomme,-5.09676252122798
RN ten Doeschate,-5.098178453108363
VY Mahesh,-5.122319743559071
RR Raje,-5.178346361888395
PJ Sangwan,-5.183416288120055
B Chipli,-5.243968412246958
MJ McClenaghan,-5.2528871862162525
SB Jakati,-5.290585713879224
UT Yadav,-5.4100989181883214
Ashutosh Sharma,-5.41301345921896
WPUJC Vaas,-5.494308367131108
AC Voges,-5.593500027275799
WD Parnell,-5.636324408302994
Anuj Rawat,-5.6941489696221
RE van der Merwe,-5.701953966800874
NT Ellis,-5.736033692843042
Sandeep Sharma,-5.792391197935085
PK Garg,-5.901123746963574
CJ Anderson,-5.9487638130141525
L Balaji,-6.114238502568232
Gurkeerat Singh,-6.292265381305519
S Sreesanth,-6.407775273896281
